id,name,code,scale,contained_in,slug
110535-regions-01-02-03-04-06-11-24-27-28-32-44-52-53-75-76-84-93-94,regions_01_02_03_04_06_11_24_27_28_32_44_52_53_75_76_84_93_94,id_110535,Ad-hoc,,
110536-regions-01-02-03-04-06-11-24-27-28-32-44-52-75-76-93-94-975-977-978-984-986-987-988-989,regions_01_02_03_04_06_11_24_27_28_32_44_52_75_76_93_94_975_977_978_984_986_987_988_989,id_110536,Ad-hoc,,
110537-regions-01-02-03-04-24-27-32-52-75-76-84-93-94,regions_01_02_03_04_24_27_32_52_75_76_84_93_94,id_110537,Ad-hoc,,
110538-regions-02-11-24-27-28-44-75-76-84-93,regions_02_11_24_27_28_44_75_76_84_93,id_110538,Ad-hoc,,
110539-regions-11-24-27-28-32-52-53-75-76-84-94,regions_11_24_27_28_32_52_53_75_76_84_94,id_110539,Ad-hoc,,
110540-regions-01-02-03-04-06-11-24-27-28-32-44-52-75-76-93-94-987-988,regions_01_02_03_04_06_11_24_27_28_32_44_52_75_76_93_94_987_988,id_110540,Ad-hoc,,
110542-syndicat-mixte-du-saleve,Syndicat Mixte du Salève,salève,Ad-hoc,,
110543-syndicat-intercommunal-du-massif-des-aravis-sima,Syndicat Intercommunal du Massif des Aravis (SIMA),SIMA,Ad-hoc,,
110544-scot-est-cirest,SCOT EST (CIREST),SCOT-173,Ad-hoc,,
110545-scot-du-sud-corse,SCOT DU SUD CORSE,SCOT-10509,Ad-hoc,,
110546-scot-de-la-costa-verde,SCOT DE LA COSTA VERDE,SCOT-10510,Ad-hoc,,
110547-scot-fium-orbu-castellu,SCOT FIUM'ORBU CASTELLU,SCOT-10511,Ad-hoc,,
110548-pnr-baie-de-somme-picardie-maritime-parc-naturel-regional,PNR Baie de Somme - Picardie maritime (Parc naturel régional),PNR-FR8000057,Ad-hoc,,
110549-pnr-corbieres-fenouilledes-parc-naturel-regional,PNR Corbières-Fenouillèdes (Parc naturel régional),PNR-FR8000059,Ad-hoc,,
110550-pnr-de-la-sainte-baume-parc-naturel-regional,PNR de la Sainte-Baume (Parc naturel régional),PNR-FR8000053,Ad-hoc,,
110551-pnr-des-marais-du-cotentin-et-du-bessin-parc-naturel-regional,PNR des Marais du Cotentin et du Bessin (Parc naturel régional),PNR-FR8000021,Ad-hoc,,
110552-pnr-du-mont-ventoux-parc-naturel-regional,PNR du Mont Ventoux (Parc naturel régional),PNR-FR8000056,Ad-hoc,,
110553-pnr-du-perche-parc-naturel-regional,PNR du Perche (Parc naturel régional),PNR-FR8000034,Ad-hoc,,
110554-pnr-medoc-parc-naturel-regional,PNR Medoc (Parc naturel régional),PNR-FR8000055,Ad-hoc,,
110555-pnr-normandie-maine-parc-naturel-regional,PNR Normandie-Maine (Parc naturel régional),PNR-FR8000026,Ad-hoc,,
110556-parc-national-du-mercantour,Parc national du Mercantour,Mercantour,Ad-hoc,,
110557-alpes-de-haute-provence-hautes-alpes-et-alpes-maritimes,"Alpes-de-Haute-Provence, Hautes-Alpes et Alpes-Maritimes",04_05_06,Ad-hoc,,
110558-alpes-de-haute-provence-hautes-alpes-et-bouches-du-rhone,"Alpes-de-Haute-Provence, Hautes-Alpes et Bouches-du-Rhône",04_05_13,Ad-hoc,,
110559-centre-val-de-loire-sauf-indre-et-loire,Centre-Val de Loire sauf Indre-et-Loire,CVL sauf IDL,Ad-hoc,,
110561-gobierno-de-cantabria,Gobierno de Cantabria,Gobierno de Cant,Ad-hoc,,
110562-lot-et-garonne-hors-ca-agen,Lot et Garonne hors CA Agen,LotG_Hors_CAAgen,Ad-hoc,,
110563-syndicat-intercommunal-d-amenagement-des-eaux-du-bassin-versant-des-etangs-du-littoral-girondin,Syndicat intercommunal d'aménagement des eaux du bassin versant des étangs du littoral girondin,SIAEBVELG,Ad-hoc,,
110564-syndicat-mixte-des-gaves-d-oloron-aspe-ossau-et-affluents-smgoao,"Syndicat Mixte des Gaves d’Oloron, Aspe, Ossau et Affluents (SMGOAO)",SMGOAO,Ad-hoc,,
110565-syndicat-mixte-du-grand-site-cap-d-erquy-cap-frehel,Syndicat mixte du Grand Site Cap d'Erquy - Cap Fréhel,GSCAE,Ad-hoc,,
110566-syndicat-mixte-de-l-amenagement-de-l-allier,Syndicat mixte de l'Aménagement de l'Allier,SMAA,Ad-hoc,,
110567-syndicat-mixte-des-gorges-du-gardon,Syndicat Mixte des Gorges du Gardon,SMGG,Ad-hoc,,
110568-sivom-de-la-vallee-de-l-yerres-et-des-senarts,SIVOM de la Vallée de l'Yerres et des Sénarts,VYS,Ad-hoc,,
110569-communes-littorales-de-loire-atlantique,Communes littorales de Loire-Atlantique,Littorales L-A,Ad-hoc,,
110570-smirtom-du-perche-ornais,SMIRTOM du Perche Ornais,SMIRTOM,Ad-hoc,,
110571-regions-01-02-03-04-06-11-24-27-28-44-52-75-76-93-94-975-977-978-984-986-987-988-989,regions_01_02_03_04_06_11_24_27_28_44_52_75_76_93_94_975_977_978_984_986_987_988_989,id_110571,Ad-hoc,,
110572-regions-11-93,regions_11_93,id_110572,Ad-hoc,,
110573-regions-01-02-03-06-94-975-987,regions_01_02_03_06_94_975_987,id_110573,Ad-hoc,,
