id,slug,text,perimeter,group_id,group_name
103-ministere-de-leducation-nationale-et-de-la-jeuness,ministere-de-leducation-nationale-et-de-la-jeuness,Ministère de l'Éducation nationale et de la Jeunesse,France,95.0,Ministère de l'Éducation nationale et de la Jeunesse
104-ministere-de-lenseignement-superieur-de-la-recherc,ministere-de-lenseignement-superieur-de-la-recherc,Ministère de l'Enseignement supérieur et de la Recherche,France,96.0,Ministère de l'Enseignement supérieur et de la Recherche
105-ademe-direction-regionale-hauts-de-france,ademe-direction-regionale-hauts-de-france,Ademe - Direction régionale Hauts-de-France,Hauts-de-France,12.0,ADEME - Direction régionale
106-agence-de-leau-rhin-meuse,agence-de-leau-rhin-meuse,Agence de l'eau  Rhin-Meuse,Rhin-Meuse,19.0,Agence de l'eau
107-agence-de-leau-adour-garonne,agence-de-leau-adour-garonne,Agence de l'eau Adour-Garonne,Adour-Garonne,19.0,Agence de l'eau
108-agence-de-leau-artois-picardie,agence-de-leau-artois-picardie,Agence de l'eau Artois - Picardie,Artois-Picardie,19.0,Agence de l'eau
109-office-de-leau-reunion,office-de-leau-reunion,Office de l'eau Réunion,La Réunion,19.0,Agence de l'eau
110-office-de-leau-guyane,office-de-leau-guyane,Office de l'eau Guyane,,,
111-office-de-leau-guadeloupe,office-de-leau-guadeloupe,Office de l'eau Guadeloupe,Guadeloupe,19.0,Agence de l'eau
112-office-de-leau-martinique,office-de-leau-martinique,Office de l'eau Martinique,,,
113-banque-des-territoires,banque-des-territoires,Banque des Territoires,France,54.0,Banque des territoires (BdT)
114-ain-departement,ain-departement,Conseil départemental de l'Ain,,,
115-aisne-departement,aisne-departement,Conseil départemental de l'Aisne,Aisne,3.0,Conseil départemental (CD)
116-allier-departement,allier-departement,Conseil départemental de l'Allier,Allier,3.0,Conseil départemental (CD)
117-alpes-de-haute-provence-departement,alpes-de-haute-provence-departement,Conseil départemental des Alpes-de-Haute-Provence,Alpes-de-Haute-Provence,3.0,Conseil départemental (CD)
118-hautes-alpes-departement,hautes-alpes-departement,Conseil départemental des Hautes-Alpes,,,
119-alpes-maritimes-departement,alpes-maritimes-departement,Conseil départemental des Alpes-Maritimes,,,
120-ardeche-departement,ardeche-departement,Conseil départemental de l'Ardèche,Ardèche,3.0,Conseil départemental (CD)
